2279 18055  154
209056 84366 209057 84359 
209057 84359 209648 83225 
209648 83225 210238 82090 
210238 82090 210829 80956 
210829 80956 211419 79821 
211419 79821 211617 79411 
211617 79411 211798 79009 
211798 79009 211994 78611 
211994 78611 212237 78210 
212237 78210 211766 77768 
211766 77768 211306 77191 
211306 77191 210961 76642 
210961 76642 210833 76284 
210833 76284 212065 75705 
212065 75705 213100 74709 
213100 74709 214134 73694 
214134 73694 215363 73054 
215363 73054 215617 72308 
215617 72308 216220 71819 
216220 71819 217063 71517 
217063 71517 218033 71329 
218033 71329 218432 70687 
218432 70687 218830 70045 
218830 70045 218277 69808 
218277 69808 217640 69468 
217640 69468 217065 69071 
217065 69071 216696 68663 
216696 68663 216072 68468 
216072 68468 215409 68402 
215409 68402 214521 67748 
214521 67748 213486 66938 
213486 66938 212583 66072 
212583 66072 212089 65250 
212089 65250 211150 65171 
211150 65171 209917 64884 
209917 64884 208775 64454 
208775 64454 208105 63948 
208105 63948 207489 63764 
207489 63764 206919 63777 
206919 63777 206332 63893 
206332 63893 205668 64022 
205668 64022 204522 63065 
204522 63065 203529 61860 
203529 61860 202743 60558 
202743 60558 202217 59310 
202217 59310 201591 58784 
201591 58784 200947 58284 
200947 58284 200312 57767 
200312 57767 199716 57194 
199716 57194 198987 56964 
198987 56964 198186 56650 
198186 56650 197418 56355 
197418 56355 196786 56185 
196786 56185 195535 55964 
195535 55964 194488 55663 
194488 55663 193534 55243 
193534 55243 192566 54663 
192566 54663 191045 54591 
191045 54591 190865 54515 
23122 83757 23263 84079 
23263 84079 25094 84162 
25094 84162 27090 84624 
27090 84624 28943 85366 
28943 85366 30343 86287 
118883 50009 118903 50412 
118903 50412 118923 50815 
118923 50815 118943 51218 
118943 51218 118962 51621 
118962 51621 119477 52270 
119477 52270 120265 53074 
120265 53074 121138 54027 
121138 54027 121908 55123 
121908 55123 122587 56555 
122587 56555 123146 58042 
123146 58042 123704 59529 
123704 59529 124377 60956 
124377 60956 124653 61347 
124653 61347 124988 61738 
124988 61738 125305 62135 
125305 62135 125523 62548 
125523 62548 125582 62830 
125582 62830 125638 63217 
125638 63217 125697 63590 
125697 63590 125767 63829 
125767 63829 126246 64544 
126246 64544 126807 65262 
126807 65262 127394 65971 
127394 65971 127949 66658 
127949 66658 128177 67217 
128177 67217 128418 68134 
128418 68134 128637 69088 
128637 69088 128799 69759 
128799 69759 129548 71278 
129548 71278 130671 72672 
130671 72672 131866 74038 
131866 74038 132832 75477 
132832 75477 132994 75891 
132994 75891 133111 76328 
133111 76328 133223 76767 
133223 76767 133368 77189 
133368 77189 134222 78845 
134222 78845 135255 80609 
135255 80609 136199 82396 
136199 82396 136783 84109 
98809 84093 98560 83686 
98560 83686 97645 82392 
97645 82392 96627 81230 
96627 81230 95480 79960 
95480 79960 94391 78625 
94391 78625 93250 77319 
93250 77319 91947 76137 
91947 76137 90725 75150 
90725 75150 89549 74125 
89549 74125 88387 73084 
88387 73084 87208 72047 
87208 72047 86176 71525 
86176 71525 84402 70924 
84402 70924 82562 70568 
82562 70568 81331 70784 
81331 70784 80813 70763 
80813 70763 80266 70676 
80266 70676 79718 70588 
79718 70588 79167 70494 
79167 70494 78638 70379 
78638 70379 76022 68648 
76022 68648 72421 65244 
72421 65244 68984 61564 
68984 61564 66851 59005 
66851 59005 66370 58235 
66370 58235 65895 57375 
65895 57375 65396 56542 
65396 56542 64843 55854 
64843 55854 63818 54880 
63818 54880 62258 53439 
62258 53439 60551 51914 
60551 51914 59087 50688 
59087 50688 58472 50976 
58472 50976 57724 51192 
57724 51192 56941 51388 
56941 51388 56222 51617 
56222 51617 55057 51546 
55057 51546 53862 51789 
53862 51789 52667 52121 
52667 52121 51502 52314 
51502 52314 50788 52224 
50788 52224 50027 52244 
50027 52244 49132 52534 
49132 52534 48211 52842 
48211 52842 47284 53132 
47284 53132 46374 53367 
46374 53367 45100 53608 
45100 53608 43848 53845 
43848 53845 42575 54198 
42575 54198 41238 54785 
41238 54785 39847 55010 
39847 55010 38478 55360 
38478 55360 37109 55667 
37109 55667 35719 55767 
35719 55767 34709 55653 
34709 55653 33708 55454 
33708 55454 32700 55254 
32700 55254 31666 55135 
31666 55135 30709 55205 
30709 55205 29810 55370 
29810 55370 28921 55416 
28921 55416 27997 55127 
27997 55127 27928 55045 
27928 55045 27858 54964 
27858 54964 27555 54921 
27555 54921 27268 54904 
27268 54904 26980 54910 
26980 54910 26692 54915 
26692 54915 25615 55015 
25615 55015 24492 55181 
24492 55181 23389 55335 
23389 55335 22374 55400 
22374 55400 20484 55289 
20484 55289 18542 55051 
18542 55051 16595 54789 
16595 54789 14687 54609 
14687 54609 12379 54559 
12379 54559 10462 54586 
10462 54586  8471 54515 
 8471 54515  5942 54168 
 5942 54168  5593 54116 
 5593 54116  5250 54075 
 5250 54075  4910 54019 
 4910 54019  4569 53925 
 4569 53925  4677 54715 
 4677 54715  4726 55546 
 4726 55546  4801 56366 
 4801 56366  4990 57122 
 4990 57122  6114 59045 
 6114 59045  8249 62177 
 8249 62177 10621 65339 
10621 65339 12450 67354 
12450 67354 12531 67998 
12531 67998 12604 69053 
12604 69053 12621 70092 
12621 70092 12534 70689 
12534 70689 13809 72986 
13809 72986 15405 75120 
15405 75120 17171 77193 
17171 77193 18954 79304 
18954 79304 19299 79357 
19299 79357 19541 79534 
19541 79534 19784 79710 
19784 79710 20101 79701 
20101 79701 20479 79722 
20479 79722 20846 79784 
20846 79784 21129 79896 
21129 79896 21705 80919 
21705 80919 22267 81953 
22267 81953 22793 83005 
22793 83005 23122 83757 
 4569 53925  4081 53610 
 4081 53610  3526 53365 
 3526 53365  2926 53196 
 2926 53196  2304 53109 
-23143 57040 -22071 57111 
-22071 57111 -21071 57275 
-21071 57275 -20088 57487 
-20088 57487 -19062 57703 
-19062 57703 -16600 57944 
-16600 57944 -14127 57802 
-14127 57802 -11686 57380 
-11686 57380 -9317 56781 
-9317 56781 -7990 56356 
-7990 56356 -6681 55867 
-6681 55867 -5378 55364 
-5378 55364 -4070 54893 
-4070 54893 -2501 54415 
-2501 54415  -898 53983 
 -898 53983   713 53561 
  713 53561  2304 53109 
-48390 84868 -47996 84102 
-47996 84102 -47388 83006 
-47388 83006 -46994 82429 
-46994 82429 -46878 81231 
-46878 81231 -45810 80447 
-45810 80447 -44431 79859 
-44431 79859 -43382 79249 
-43382 79249 -42448 78558 
-42448 78558 -41046 77414 
-41046 77414 -39712 76276 
-39712 76276 -38979 75606 
-38979 75606 -38677 75063 
-38677 75063 -38475 74387 
-38475 74387 -38341 73788 
-38341 73788 -38242 73477 
-38242 73477 -37530 72583 
-37530 72583 -36866 71580 
-36866 71580 -36162 70634 
-36162 70634 -35329 69908 
-35329 69908 -33735 68901 
-33735 68901 -32368 67923 
-32368 67923 -31101 66855 
-31101 66855 -29804 65580 
-29804 65580 -29089 64990 
-29089 64990 -28247 64460 
-28247 64460 -27400 63932 
-27400 63932 -26668 63347 
-26668 63347 -26381 62978 
-26381 62978 -26136 62552 
-26136 62552 -25881 62114 
-25881 62114 -25562 61709 
-25562 61709 -25131 61336 
-25131 61336 -24633 60956 
-24633 60956 -24160 60572 
-24160 60572 -23806 60183 
-23806 60183 -23460 59371 
-23460 59371 -23384 58575 
-23384 58575 -23353 57798 
-23353 57798 -23143 57040 
118883 50009 117805 49903 
117805 49903 116724 49812 
116724 49812 115640 49744 
115640 49744 114556 49675 
114556 49675 114168 49900 
114168 49900 113780 50125 
113780 50125 113412 50147 
113412 50147 113044 50168 
113044 50168 112673 50170 
112673 50170 112308 50151 
112308 50151 110568 49218 
110568 49218 107847 48157 
107847 48157 104960 47106 
104960 47106 102720 46205 
102720 46205 101654 45549 
101654 45549 100258 44575 
100258 44575 98930 43674 
98930 43674 98063 43240 
98063 43240 97342 43142 
97342 43142 96622 43043 
96622 43043 95901 42944 
95901 42944 95180 42845 
95180 42845 94624 42422 
94624 42422 94043 42014 
