  13   11    6
    7     7    10    10 
  -10    -6    -5    -5 
   -3    -5    -1    -1 
   -4    -4     1     4 
    0     0     7     2 
    7     3     7     7 
    4     4     4     8 
  -10   -10    -5    -5 
   -5    -5    -4    -4 
   -4    -4    -1    -1 
   -1    -1     0     0 
    0     0     4     4 
    4     4     7     7 
    7     7    10    10 
   -3   -10    10    10 
   -3   -10     9    -3 
  -10   -10     6     9 
   -9    -3     6     9 
  -10   -10    -5    -5 
   -5    -5    -4    -4 
   -4    -4    -1    -1 
   -1    -1     0     0 
    0     0     4     4 
    4     4     7     7 
