2890 3033 5273
-1048575 -1023593 -1048575 -998548 
-1048575 -1023593 -1047065 -1048572 
-1048575 -1023593 -1047065 -1021887 
-1048575 -1023593 -1041998 -1032287 
-1048575 -1023593 -1041998 -1023593 
-1048575 -991749 -1048575 -913059 
-1048575 -998548 -1047065 -1021887 
-1048575 -998548 -1042249 -968597 
-1048575 -998548 -1041998 -998548 
-1048575 -998548 -1041998 -972197 
-1048575 -804658 -1048575 -726425 
-1048575 -913059 -1044307 -799808 
-1048575 -913059 -1042249 -968597 
-1048575 -913059 -1034913 -913059 
-1048575 -913059 -1034913 -900651 
-1048575 -913059 -1032043 -872833 
-1048575 -726425 -1048575 -634236 
-1048575 -726425 -1044307 -799808 
-1048575 -726425 -1044307 -674263 
-1048575 -726425 -1034913 -726425 
-1048575 -726425 -1032043 -684974 
-1048575 -341233 -1048575 -251106 
-1048575 -634236 -1044307 -674263 
-1048575 -634236 -1041277 -404656 
-1048575 -634236 -1033149 -674263 
-1048575 -634236 -1020574 -634236 
-1048575 -634236 -1020574 -592343 
-1048575 -634236 -1016912 -596266 
-1048575 -90626 -1048575 -54352 
-1048575 -251106 -1045039 -60108 
-1048575 -251106 -1041277 -404656 
-1048575 -251106 -1020574 -251106 
-1048575 -251106 -1020574 -129540 
-1048575 -251106 -1016912 -192602 
-1048575 -54352 -1048575 -12986 
-1048575 -54352 -1045039 -60108 
-1048575 -54352 -1045039 -44777 
-1048575 -54352 -1043539 -54352 
-1048575 -54352 -1043539 -50421 
-1048575 -12986 -1048575 33771 
-1048575 -12986 -1047238  4613 
-1048575 -12986 -1045039 -44777 
-1048575 -12986 -1043539 -12986 
-1048575 -12986 -1043539  1332 
-1048575 33771 -1048575 222253 
-1048575 33771 -1047238  4613 
-1048575 33771 -1047238 50937 
-1048575 33771 -1043680  4613 
-1048575 33771 -1032465 50937 
-1048575 33771 -1025266 33771 
-1048575 544101 -1048575 553254 
-1048575 222253 -1047238 50937 
-1048575 222253 -1025266 222253 
-1048575 222253 -1025266 435447 
-1048575 222253 -996140 116157 
-1048575 222253 -978461 281563 
-1048575 553254 -1048575 558332 
-1048575 553254 -1042344 547063 
-1048575 553254 -1042344 554366 
-1048575 553254 -1025266 435447 
-1048575 558332 -1048575 574624 
-1048575 558332 -1042344 554366 
-1048575 558332 -1037462 571773 
-1048575 574624 -1048575 669264 
-1048575 574624 -1037462 571773 
-1048575 574624 -1028427 592818 
-1048575 574624 -1026124 597726 
-1048575 893512 -1048575 894878 
-1048575 669264 -1042499 745819 
-1048575 669264 -1026124 597726 
-1048575 669264 -1026124 669264 
-1048575 894878 -1048575 1004665 
-1048575 894878 -1047395 1002160 
-1048575 894878 -1042499 745819 
-1048575 894878 -1023884 894878 
-1048575 894878 -1023884 899271 
-1048575 894878 -975947 790571 
-1048575 894878 -975715 859507 
-1048575 1004665 -1047395 1002160 
-1048575 1004665 -1047395 1048570 
-1048575 1004665 -1042499 1002160 
-1048575 1004665 -1023884 1030834 
-1047395 1002160 -1042499 1002160 
-1047395 1002160 -1023884 899271 
-1047395 1048570 -1023884 1030834 
-1047395 1048570 -985719 1048570 
-1047238  4613 -1043680  4613 
-1047238  4613 -1043539  1332 
-1047238 50937 -1032465 50937 
-1047238 50937 -996140 116157 
-1047065 -1048572 -1041998 -1032287 
-1047065 -1048572 -1041939 -1048572 
-1047065 -1021887 -1042249 -1021887 
-1047065 -1021887 -1041998 -1023593 
-1047065 -1021887 -1041998 -998548 
-1045039 -60108 -1043539 -54352 
-1045039 -60108 -1041277 -60108 
-1045039 -60108 -1020574 -129540 
-1045039 -44777 -1043680 -44777 
-1045039 -44777 -1043539 -50421 
-1045039 -44777 -1043539 -12986 
-1044307 -799808 -1037748 -799808 
-1044307 -799808 -1034913 -726425 
-1044307 -799808 -1032043 -872833 
-1044307 -674263 -1034913 -675371 
-1044307 -674263 -1033149 -674263 
-1044307 -674263 -1032043 -684974 
-1043680 -44777 -1043539 -50421 
-1043680 -44777 -1043539 -12986 
-1043680 -44777 -1032838 -44777 
-1043680  4613 -1043539  1332 
-1043680  4613 -1028642  4613 
-1043680  4613 -1025266 33771 
-1043539 -54352 -1043539 -50421 
-1043539 -54352 -1041277 -60108 
-1043539 -54352 -1032838 -60108 
-1043539 -54352 -1032838 -44777 
-1043539 -50421 -1032838 -44777 
-1043539 -12986 -1043539  1332 
-1043539 -12986 -1032838 -44777 
-1043539 -12986 -1028642  4613 
-1043539 -12986 -1016912 -18862 
-1043539  1332 -1028642  4613 
-1042499 745819 -1028427 745819 
-1042499 745819 -1026124 669264 
-1042499 745819 -975947 790571 
-1042499 1002160 -1023884 899271 
-1042499 1002160 -1023884 1004665 
-1042499 1002160 -1023884 1030834 
-1042344 547063 -1042344 554366 
-1042344 547063 -1037462 554366 
-1042344 547063 -1032465 547063 
-1042344 547063 -1025266 435447 
-1042344 547063 -996140 517881 
-1042344 554366 -1037462 554366 
-1042344 554366 -1037462 571773 
-1042249 -1021887 -1041998 -1023593 
-1042249 -1021887 -1041998 -998548 
-1042249 -1021887 -1041939 -1021887 
-1042249 -968597 -1041998 -972197 
-1042249 -968597 -1039679 -968597 
-1042249 -968597 -1034913 -913059 
-1041998 -1032287 -1041998 -1023593 
-1041998 -1032287 -1041939 -1048572 
-1041998 -1032287 -1032043 -1032287 
-1041998 -1023593 -1041939 -1021887 
-1041998 -1023593 -1039679 -1021887 
-1041998 -1023593 -1032043 -1032287 
-1041998 -998548 -1041998 -972197 
-1041998 -998548 -1041939 -1021887 
-1041998 -998548 -1039679 -1021887 
-1041998 -998548 -1032043 -1022856 
-1041998 -998548 -1032043 -973769 
-1041998 -972197 -1039679 -968597 
-1041998 -972197 -1037748 -968597 
-1041998 -972197 -1032043 -973769 
-1041939 -1048572 -1032043 -1032287 
-978827 -1048572 -963132 -1048572 
-1041939 -1021887 -1039679 -1021887 
-1041277 -404656 -1026687 -404656 
-1041277 -404656 -1020574 -592343 
-1041277 -404656 -1020574 -251106 
-1041277 -60108 -1032838 -60108 
-1041277 -60108 -1020574 -129540 
-1039679 -1021887 -1032043 -1032287 
-1039679 -1021887 -1032043 -1022856 
-1039679 -968597 -1037748 -968597 
-1039679 -968597 -1034913 -913059 
-1037748 -968597 -1034913 -913059 
-1037748 -968597 -1034079 -968597 
-1037748 -968597 -1032043 -973769 
-1037748 -968597 -1032043 -972197 
-1037748 -799808 -1034913 -726425 
-1037748 -799808 -1034079 -799808 
-1037748 -799808 -1032043 -872833 
-1037462 554366 -1037462 571773 
-1037462 554366 -1032465 547063 
-1037462 554366 -1028016 571773 
-1037462 554366 -1019236 547063 
-1037462 571773 -1028427 592818 
-1037462 571773 -1028016 571773 
-1037462 571773 -1026124 574624 
-1037462 571773 -1026124 586467 
-1034913 -913059 -1034913 -900651 
-1034913 -913059 -1034079 -968597 
-1034913 -913059 -1032043 -900651 
-1034913 -913059 -935363 -968597 
-1034913 -900651 -1032043 -900651 
-1034913 -900651 -1032043 -872833 
-1034913 -726425 -1034079 -799808 
-1034913 -726425 -1033149 -799808 
-1034913 -726425 -1032043 -684974 
-1034913 -726425 -1019855 -674263 
-1034913 -726425 -935363 -745527 
-1034913 -675371 -1033149 -674263 
-1034913 -675371 -1032043 -684974 
-1034913 -675371 -1032043 -675371 
-1034079 -968597 -1032043 -972197 
-1034079 -968597 -935363 -968597 
-1034079 -799808 -1033149 -799808 
-1034079 -799808 -1032043 -872833 
-1033149 -799808 -1032043 -872833 
-1033149 -799808 -935363 -745527 
-1033149 -674263 -1032043 -675371 
-1033149 -674263 -1026687 -674263 
-1033149 -674263 -1020574 -634236 
-1032838 -60108 -1032838 -44777 
-1032838 -60108 -1028642 -44777 
-1032838 -60108 -1020574 -129540 
-1032838 -60108 -1019337 -60108 
-1032838 -44777 -1028642 -44777 
