 488  512  449
-1048575 -1023593 -1047065 -1048572 
-1047065 -1021887 -1041998 -1023593 
-1048575 -998548 -1042249 -1021887 
-1042249 -968597 -1041998 -998548 
-1041998 -1032287 -1041939 -1048572 
-1041939 -1021887 -1032043 -1032287 
-1041998 -972197 -1039679 -1021887 
-1039679 -968597 -1032043 -972197 
-1048575 -913059 -1037748 -799808 
-1037748 -968597 -1034913 -913059 
-1048575 -726425 -1044307 -799808 
-1044307 -674263 -1034913 -726425 
-1034913 -900651 -1034079 -968597 
-1034079 -799808 -1032043 -900651 
-1034913 -675371 -1033149 -674263 
-1033149 -799808 -1032043 -675371 
-1032043 -1022856 -963132 -994521 
-963132 -1048572 -755234 -1022856 
-1032043 -973769 -866114 -968597 
-866114 -994521 -755234 -973769 
-755234 -1003112 -707737 -994521 
-707737 -1048572 -697411 -1003112 
-755234 -979687 -730366 -994521 
-730366 -968597 -697411 -979687 
-1032043 -872833 -935363 -968597 
-935363 -745527 -783590 -872833 
-1032043 -684974 -889687 -674263 
-889687 -745527 -783590 -684974 
-783590 -837352 -729960 -968597 
-729960 -745527 -697411 -837352 
-783590 -709860 -776187 -745527 
-776187 -674263 -697411 -709860 
-1048575 -634236 -1026687 -674263 
-1026687 -404656 -1020574 -634236 
-1048575 -251106 -1041277 -404656 
-1041277 -60108 -1020574 -251106 
-1020574 -592343 -1019855 -404656 
-1019855 -674263 -1016912 -592343 
-1020574 -129540 -1019337 -404656 
-1019337 -60108 -1016912 -129540 
-1048575 -54352 -1045039 -60108 
-1045039 -44777 -1043539 -54352 
-1048575 -12986 -1043680 -44777 
-1043680  4613 -1043539 -12986 
-1043539 -50421 -1032838 -60108 
-1032838 -44777 -1016912 -50421 
-1043539  1332 -1028642 -44777 
-1028642  4613 -1016912  1332 
-1016912 -596266 -879640 -281800 
-879640 -674263 -862262 -596266 
-1016912 -192602 -863474 -281800 
-863474 -60108 -862262 -192602 
-862262 -283614 -713675 -674263 
-713675 -281800 -697411 -283614 
-862262 -273793 -844386 -281800 
-844386 -60108 -697411 -273793 
-1016912 -18862 -881716 -60108 
-881716  2150 -835709 -18862 
-1016912  4518 -969818  2150 
-969818  4613 -835709  4518 
-835709 -16758 -831522 -60108 
-831522  2150 -697411 -16758 
-835709  4341 -827545  4613 
-827545  2150 -697411  4341 
-697411 -1038829 -697394 -1048572 
-697394 -1005920 -697357 -1038829 
-697411 -914571 -697407 -674263 
-697407 -1005920 -697357 -914571 
-697357 -1037140 -697237 -1048572 
-697237 -1029621 -697197 -1037140 
-697357 -1006430 -697338 -1029621 
-697338 -1005920 -697197 -1006430 
-697197 -1039737 -697195 -1029621 
-697195 -1048572 -697174 -1039737 
-697197 -1024163 -697183 -1029621 
-697183 -1005920 -697174 -1024163 
-697357 -998872 -697308 -1005920 
-697308 -806967 -697247 -998872 
-697357 -792629 -697312 -674263 
-697312 -806967 -697247 -792629 
-697247 -896270 -697214 -1005920 
-697214 -806967 -697174 -896270 
-697247 -691219 -697197 -674263 
-697197 -806967 -697174 -691219 
-697411 -427738 -697363 -362223 
-697363 -674263 -697359 -427738 
-697411 -340544 -697394 -362223 
-697394  4613 -697359 -340544 
-697359 -663739 -697320 -674263 
-697320 -611878 -697266 -663739 
-697359 -376750 -697325 -362223 
-697325 -611878 -697266 -376750 
-697266 -635174 -697191 -674263 
-697191 -611878 -697174 -635174 
-697266 -430472 -697207 -362223 
-697207 -611878 -697174 -430472 
-697359 -361275 -697312 -362223 
-697312 -356954 -697198 -361275 
-697359 -146851 -697348 -356954 
-697348  4613 -697198 -146851 
-697198 -357669 -697183 -356954 
-697183 -362223 -697174 -357669 
-697198 -165714 -697180 -356954 
-697180  4613 -697174 -165714 
-1048575 33771 -1047238  4613 
-1047238 50937 -1025266 33771 
-1048575 222253 -1032465 50937 
-1032465 547063 -1025266 222253 
-1025266 48796 -1010115 50937 
-1010115  4613 -996140 48796 
-1025266 435447 -1019236 50937 
-1019236 547063 -996140 435447 
-1048575 553254 -1042344 547063 
-1042344 554366 -1007543 553254 
-1048575 558332 -1037462 571773 
-1037462 554366 -1007543 558332 
-1007543 553066 -998085 547063 
-998085 554366 -996140 553066 
-1007543 559345 -1001023 554366 
-1001023 571773 -996140 559345 
-996140 116157 -988252 244153 
-988252  4613 -978461 116157 
-996140 517881 -984201 244153 
-984201 547063 -978461 517881 
-978461 67016 -975081  4613 
-975081 244153 -973936 67016 
-978461 281563 -977864 547063 
-977864 244153 -973936 281563 
-996140 558949 -995902 547063 
-995902 561519 -992904 558949 
-996140 566570 -993145 561519 
-993145 571773 -992904 566570 
-992904 554847 -976021 561519 
-976021 547063 -973936 554847 
-992904 561893 -974393 571773 
-974393 561519 -973936 561893 
-1048575 574624 -1028016 592818 
-1028016 571773 -1026124 574624 
-1048575 669264 -1028427 592818 
-1028427 745819 -1026124 669264 
-1026124 586467 -996868 592818 
-996868 571773 -975952 586467 
-1026124 597726 -999640 592818 
-999640 745819 -975952 597726 
-1048575 894878 -1042499 745819 
-1042499 1002160 -1023884 894878 
-1048575 1004665 -1047395 1048570 
-1047395 1002160 -1023884 1004665 
-1023884 899271 -991220 1002160 
-991220 745819 -975952 899271 
-1023884 1030834 -985719 1048570 
-985719 1002160 -975952 1030834 
-975952 573961 -975843 595445 
-975843 571773 -975812 573961 
-975952 611208 -975918 595445 
-975918 745819 -975812 611208 
-975812 589141 -974503 571773 
-974503 595445 -973936 589141 
-975812 644525 -974844 595445 
-974844 745819 -973936 644525 
-975952 788972 -975947 745819 
-975947 790571 -975715 788972 
-975952 911162 -975922 790571 
-975922 1048570 -975715 911162 
-975715 779585 -975199 745819 
-975199 790571 -973936 779585 
-975715 859507 -974954 790571 
-974954 1048570 -973936 859507 
-973936 211297 -948099  4613 
-948099 392270 -872784 211297 
-973936 398644 -946853 392270 
-946853 417756 -872784 398644 
-872784 120678 -862669  4613 
-862669 392270 -725301 120678 
-872784 408475 -842801 392270 
-842801 417756 -725301 408475 
-973936 441148 -874650 417756 
-874650 517991 -849196 441148 
-973936 545729 -959907 517991 
-959907 571773 -849196 545729 
-849196 467695 -735116 517991 
-735116 417756 -725301 467695 
-849196 567324 -768353 517991 
-768353 571773 -725301 567324 
-725301 28849 -722254 86118 
-722254  4613 -697901 28849 
-725301 189415 -713773 86118 
-713773 417756 -697901 189415 
-697901 37385 -697834 86118 
-697834  4613 -697174 37385 
-697901 121126 -697678 86118 
-697678 417756 -697174 121126 
-725301 424536 -725295 417756 
-725295 441663 -717349 424536 
-725301 447161 -718377 441663 
-718377 571773 -717349 447161 
-717349 437687 -714706 417756 
-714706 441663 -697174 437687 
-717349 459528 -698832 441663 
-698832 571773 -697174 459528 
-973936 597857 -960112 571773 
-960112 621942 -909472 597857 
-973936 644587 -942355 654532 
-942355 621942 -909472 644587 
-909472 586464 -907816 571773 
-907816 621942 -861859 586464 
-909472 624658 -892974 621942 
-892974 654532 -861859 624658 
-973936 888954 -952363 654532 
-952363 945914 -932823 888954 
-973936 958612 -966146 945914 
-966146 1048570 -932823 958612 
-932823 659229 -887556 654532 
-887556 945914 -861859 659229 
-932823 1001812 -896250 945914 
-896250 1048570 -861859 1001812 
-861859 577765 -813912 571773 
-813912 642559 -736628 577765 
-861859 652612 -820284 654532 
-820284 642559 -736628 652612 
-736628 584268 -703953 642559 
-703953 571773 -697174 584268 
-736628 643087 -701914 642559 
-701914 654532 -697174 643087 
-861859 823288 -815960 826794 
-815960 654532 -741019 823288 
-861859 861570 -808667 1048570 
-808667 826794 -741019 861570 
-741019 808619 -727249 826794 
-727249 654532 -697174 808619 
-741019 917471 -727397 826794 
-727397 1048570 -697174 917471 
-697174 -980112 -696731 -1048572 
