  32   32   29
-1048571 -940632 -694936 -936703 
-694936 -1048570 -679241 -940632 
-1048571 -847986 -690103 -844014 
-690103 -936703 -679241 -847986 
-679241 -1032697 86481 -936703 
86481 -1048570 277578 -1032697 
-679241 -863275 196951 -936703 
196951 -844014 277578 -863275 
-1048571 -780889 -310162 -844014 
-310162 -776426 -178962 -780889 
-1048571 579787 -389634 1048570 
-389634 -776426 -178962 579787 
-178962 -832444 120289 -844014 
120289 -776426 277578 -832444 
-178962 -271043 -164429 1048570 
-164429 -776426 277578 -271043 
277578 -995157 329612 -1048570 
329612 -880128 352467 -995157 
277578 -864284 280158 -844014 
280158 -880128 352467 -864284 
352467 -914626 885348 -880128 
885348 -1048570 1048575 -914626 
352467 -864036 693395 -880128 
693395 -844014 1048575 -864036 
277578 126809 428541 -844014 
428541 584293 824495 126809 
277578 639541 366513 1048570 
366513 584293 824495 639541 
824495 -357839 1039553 -844014 
1039553 584293 1048575 -357839 
824495 933088 874647 1048570 
874647 584293 1048575 933088 
-1048572 -1029535 -904535 -1048571 
-904535 -973710 -877244 -1029535 
-1048572 -773126 -1006849 -757856 
-1006849 -973710 -877244 -773126 
-877244 -1029775 -685316 -1048571 
-685316 -973710 99016 -1029775 
-877244 -897803 -415191 -973710 
-415191 -757856 99016 -897803 
-1048572 -474008 -432548 -757856 
-432548 235178 -376931 -474008 
-1048572 544629 -542338 235178 
-542338 1048570 -376931 544629 
-376931 -704281 -340828 -757856 
-340828 235178 99016 -704281 
-376931 994893 -6090 1048570 
-6090 235178 99016 994893 
99016 -1002568 105445 -912113 
105445 -1048571 639144 -1002568 
99016 -864106 528030 -912113 
528030 -757856 639144 -864106 
639144 -966426 706965 -912113 
706965 -1048571 1048570 -966426 
639144 -805798 906940 -912113 
906940 -757856 1048570 -805798 
99016 -619563 196975 -606439 
196975 -757856 526829 -619563 
99016 284522 452310 -606439 
452310 1048570 526829 284522 
526829 -690827 567617 -606439 
567617 -757856 1048570 -690827 
526829 -598769 1028689 -606439 
1028689 1048570 1048570 -598769 
