  20   13   38
  -22     3    -3   -12 
   -3   -12    27    -3 
   13    14    27    -3 
   -5     5    13    14 
   -5     5     3    -7 
    3    -7    12    -3 
    7     2    12    -3 
    5    -3     7     2 
    3     4     5    -3 
    3     4    13     6 
   13     6    18    -2 
   11    -6    18    -2 
    1    -9    11    -6 
   -7    -3     1    -9 
  -22     3   -11     0 
  -18     8    -7    15 
  -18     8    -7     9 
   -7     9    -2     8 
   -7    15    -2     8 
  -11     0    -7    -3 
  -16     2    -4     9 
  -16     2   -14    -5 
  -14    -5    18    -5 
    0     3    18    -5 
   -4     9     0     3 
  -18    12    22    11 
    4     3    22    11 
    4     3    26    -6 
  -24    -8    26    -6 
  -24    -8   -18    12 
  -12     2    -7    -3 
   -7    -3    11    -4 
  -12     2    11    -4 
