1000 1000 7238
-562034 297732 -580480 447592 
-127377 340729 658912  5006 
345288 -950581 -587915 824521 
-170093 586289 928931 466143 
-1045063 695346 -730506 156419 
-991519 177801 -346762 -428134 
902464 425292 477912 150361 
93134 896381 -854449 988366 
196394 -27940 522228 -817558 
-639812 -83831 -292823 -110611 
46926 770330 708773 826944 
-126958 842845 378628 614809 
413196 -174556 188364 73921 
424252 -473638 434157 -360112 
1036399 -633271 882643 -511186 
-439476 -458929 83513 -684357 
904279 -693632 608239 -741157 
814816 894102 -582907 1039350 
863410 -958997 998447 -721975 
-759483 -801106 -741892 -374422 
179245 -257429 -300856 336432 
694459 -499834 797389 -175501 
57864 -603073 -931638 -203354 
32936 -222580 277990 -611293 
-714245 -240385 -739682 -109749 
-482168 -775763 -897801 -933134 
-936844 1021361 -586717 110837 
848390 -914811 -310924 -1021087 
-365130 -95844 -242840 -101517 
-352990 -12036 -358452 331209 
470528 -942008 1012776 127307 
-536604 457741 -629852 693764 
24955 -811499 -283807 -696818 
560395 213086 25017 295901 
619566 -727821 908705 -581285 
41664 -433424 -195382 -364497 
400694 326959 -110976 520502 
314732 -199239 189033 69859 
-552245 471119 -798665 845460 
-509835 -905153 -992403 -1024123 
-482435 -287015 -180473 -420233 
-721740 682872 -777273 650708 
-363008 667758 -219882 303516 
1009222 781267 1046707 57239 
30153 906716 1002540 884582 
164233 -70242 -14083  3465 
-598534 -591262 280144 -966301 
492520 530781 -293688 660193 
-811752 -564986 -760145 -825548 
801240 -83375 751763 78168 
98942 -140669 364315 -519747 
-172063 -134779 -418817 -110091 
-545701 266673 -356459 123861 
-216019 -699194 -513447 -548022 
-265799 674779 -436689 701875 
259970 473624 812724 474734 
-932994 -642610 -1039703 -581011 
897095 318832 1007772 746816 
-254853 555133 -186534 319936 
516556 -632972 637510 -111921 
295108 727987 492941 709049 
-113491 -570031 -115044 -539005 
  707 -646312 186136 -664472 
251246 578299 -124832 713087 
-600818 710197 -765085 830000 
686315 -288482 826392 -109538 
-916928 394869 -845026 148736 
-513761 913512 -25043 838983 
1011073 805804 862245 533785 
121281 -1027397 -97766 -1034544 
-202405 256251 548798 -47574 
-792261 -306735 -347338 -588620 
929898 147308 634827 251907 
-330462 342939 331473 -569426 
222617 -653272 108865 -476679 
-101985 371319 434754 253438 
-588155 912677 -480695 863137 
-1043523 -43473 -911045 -613961 
-774064 -902065 -570295 -818431 
679886 10062 500012 -289963 
522279 -805944 252660 -142372 
-475670 -478837 -453575 -458194 
-769456 -346434 -926116 -522408 
523460 -711625 612180 -513719 
496279 59541 68865 204341 
-563310 -381954 -484376 -471468 
-158517 -688455 -452486 -553673 
-207617 307269 -216928 264712 
-691481 118765 -900739 604019 
-82459 -911093 -571719 -649728 
243848 -337768 191942 -151936 
-944373 -791365 -877467 -511328 
615502 -170628 477166 -522273 
-272095 -995210 -257093 -827840 
-735886 261049 -685810 209055 
-543997 754439 -521360 749727 
10965 76167 -147604 231857 
756450 147613 565544 136790 
-290932 -1043285 516376 -961986 
-429106 -811513 -392295 -1019942 
-611982 1039612 -606609 1028791 
-451886 269400 -456059 414664 
433645 -946034 261941 -682748 
256394 -584233 233767 -687132 
 8330 413446 306392 299472 
-246112 834733 -7233 689886 
638074 76113 490842 99231 
-746023 658035 -624120 425729 
237868 712084 892451 591486 
153284 308296 22152 308231 
581650 959324 -235133 1037010 
899796 782581 856009 805204 
-190036 809107 329994 589349 
577635 955359 709016 1042726 
-593874 52398 -517769  8781 
641707 781410 495898 754729 
762392 825595 866915 683786 
-552616 -888008 -1026945 -963859 
-437114 477902 -452940 200767 
130044 552376 539179 262461 
-193940 -51549 51854 -398652 
-931414 -438416 -1027407 -101492 
-399339 92479 -878009 88275 
-722605 985492 -843907 1009679 
493764 -939675 815062 -742537 
-725255 -966215 -605280 -1015051 
-328006 793381 -604557 929757 
1023599 724279 1041330 827537 
-1046736 -344174 -1020161 -314096 
-206669 82681 -154402 -39343 
657151 -204829 634292 -454410 
-82933 -943636 -252760 -888134 
-208327 -203811 -390620 -310519 
-692854 1007588 -576097 1030947 
121858 -921871 107281 -943528 
678042 -681485 1018743 -119800 
-261706 239335 277916 -804568 
1036149 -1016901 946424 -987108 
505947 -277428 438931 -280333 
100199 262248 -132769 344732 
-124894 -599585 143155 -748175 
13617 -549793 -264738 -466219 
622922 -692049 795155 -474400 
-175262 -283720 -193675 -193635 
-293919 -169491 -525746 -218251 
359284 -448170 148630 81985 
-1009543 990046 -964860 930449 
945378 38170 686350 103713 
-373157 -1026194 -347108 -982141 
487319 -573759 553013 -429952 
885718 -741192 940814 -642343 
328311 644954 526626 650025 
145844 129776 247846 88096 
-982467 930623 -1004980 947122 
-401510 568770 -370502 538479 
-33527 -988355 33598 -931848 
22712 225187 222256 174060 
-693176 161625 -649828 255476 
506514 -980340 292783 -1030095 
384148 143346 452145 121964 
518259 -990932 746903 -1026553 
-690734 -202579 -720649 -78219 
883792 982356 790807 926639 
65408 -542268 69140 -442404 
189926 460373 330491 396270 
-199495 225439 -28465 80042 
-1044701 19674 -955543 -245723 
263917 -438261 -28185 -19846 
-97657 464616 -141532 527518 
420633 837721 -648529 937903 
-110019 -255540 -95008 -328786 
-1013056 541483 -1005969 581659 
-683540 418448 -655613 295204 
-1025395 295626 -935076 359023 
-187286 330693 -101000 394928 
-564021 -24866 -228347 -8997 
563974 -92964 406883 -293409 
598649 834968 533963 820357 
1043584 -679135 644875 -926272 
-649966 929383 -479872 353961 
-464288 759739 68730 641234 
833231 339348 850573 332501 
625602 -201005 740720 -115828 
436428 -877971 326508 -586517 
208964 -730979 117261 -783570 
515838 -325011 420605 -481844 
 9631 649153 -171080 682668 
-815742 851216 -871272 1019631 
-1025113 -819516 -1030326 -892318 
63928 -513005 -26264 -499299 
196887 397597 550954 244260 
-565716 -719678 -672370 -471613 
-1039828 340928 -1016530 462730 
-1018728 276444 -930832 -334251 
-201804 926959 659810 893241 
-901935 -119385 -837371 -68530 
-968255 691279 -820309 356061 
-926984  9009 -894727 73910 
608033 -589120 741119 -275259 
-811274 -372511 -835038 -345947 
436106 929716 -241553 986493 
-759635 376685 -773935 399143 
282389 -640662 427046 -861739 
528794 553508 115946 702066 
-597709 196026 -526236 328264 
-67366 -24663 -8476 -207816 
762273 812187 250646 727446 
983069 267734 985608 253960 
-425409 -987251 -468674 -1035697 
-914252 -960822 -824355 -951674 
-225928 131385 -292913 122566 
-86511 -547364 -527803 -402307 
1034770 -129750 924291 -406310 
-57779 231719 167181 137664 
-748855 490795 -730618 315837 
-701412 243925 -806104 421445 
-402816 -291894 -472307 -245025 
-563100 880151 -441290 765787 
-301689 769360 166117 621121 
195744 -756397 245950 -786318 
1042720 -31166 991789 -112513 
388659 -154292 417954 -401754 
-754010 380339 -952457 688303 
472124 451140 759626 423724 
-826637 -614590 -1019362 -945060 
-1003558 -29742 -992212 -125562 
520155 -726154 618690 -535240 
-725888 813804 -733718 809804 
43459 -846461 173449 -779872 
660788 346512 718473 320807 
-422621 158214 -591280 136937 
-335357 602140 183589 498370 
113794 -93073 196334 -99961 
-442108 -364545 -365076 -419058 
914729 -203379 896815 -263000 
363082 175621 169373 220622 
-523665 856943 23236 677819 
908180 206989 862399 194257 
-690298 -196938 -656510 -242116 
-727742 -560301 -611596 -776691 
-771730 802889 -773006 685675 
1015102 228880 1002429 218761 
-514853 927585 904094 825773 
-790642 -834430 -832571 -733205 
-512274 -895468 -574941 -857223 
-257619 -186617 -480962 -238682 
576795 -217697 468645 -332860 
844081 -667895 915886 -664781 
773423 496104 620294 506217 
-514076 -862432 -480810 -817221 
646833 -3948 342940 85097 
-410264 686473 -429468 523171 
393987 -697492 447564 -899833 
700499 -993007 816735 -1002081 
815314 -336081 685988 -577903 
280355 329162 -59525 477301 
-204192 912968 296942 873416 
702503 -4616 678581  5996 
408116 -70916 373090 -31936 
-312888 -1039144 -965504 -1035297 
113991 -836862 185576 -843949 
-37542 445697  -209 398026 
384655  4504 244938 31226 
-947558 -199392 -832477 -74161 
-624212 887560 -447259 665603 
941070 -13898 856961 -129422 
-501410 792075 -520793 771419 
-755223 -311770 -919571 -285549 
460044 937804 1036007 1010735 
373874 -820281 265179 -631405 
-305454 -313312  4635 -478049 
396587 785181 624930 805109 
316420 626847 380094 580221 
-387361 -328206 -410588 -269781 
-1037569 690282 -939178 619538 
-893872 437000 -692297 92997 
84195 -1028172 -114936 -1030094 
893801 75534 377547 157413 
-1011898 621374 -758147 162858 
1019400 21127 817908 -257777 
-884191 835212 -844687 752617 
45041 -9951 48190 102415 
-611077 948043 -717315 938315 
-800310 -330163 -884764 -323533 
204656 367460 175722 387420 
600352 912363 -198259 941141 
-882611 -824352 -970547 -898326 
-1044593 908583 -880456 872025 
-35771 603318 -101948 625297 
-548356 -566051 -437003 -645559 
-880428 -923172 -653968 -785019 
-581109 96092 -786029 617925 
-366498 554430 -354422 540797 
962827 856230 857613 727012 
-22265 473872 312181 314449 
926498 -291334 846094 -516370 
-447564 1012407 -680425 1008299 
758284 -447236 907902 -293726 
1040790 -261661 938342 -377786 
-912565 144427 -739338 152359 
604204 331719 449777 454770 
401762  8859 218923 65290 
408958 -620336 315038 -368707 
516324 638408 614331 604755 
839347 -754960 853843 -768436 
573041 -239288 585223 -233317 
595233 -498913 484101 -708245 
-320717 -596013 -657999 -353665 
461350 279218 275703 312865 
-519088 -112295 -500454 -137239 
-774599 -940391 -933292 -986774 
-690707 693581 -739126 791675 
809253 487580 461850 638630 
-18179 650497 186925 581864 
-463840 -13838 -730766  5934 
665140 245529 939171 213538 
47781 1008472 239480 967731 
-754006 442137 -938583 857814 
-797089 -479036 -773011 -395995 
297900 520888 292921 514436 
-133341 490820 11424 366951 
-968199 56295 -917140 56733 
-673568 754782 -574310 623922 
676613 566461 476759 642924 
749298 392455 746923 378495 
610584 -405171 620782 -243597 
-601907 -1008015 -401884 -975948 
-208560 -835447 -504050 -670607 
-625477 -321290 -756827 -225890 
-503638 -278382 -74435 -511479 
178182 -444136 383936 -783706 
-782743 450577 -986894 845951 
-636904 -715612 -629266 -600474 
-625698 -54149 -454336 -76356 
-311251 873421 25586 818203 
164001 728384 847827 626394 
361751 999654 483479 990706 
-572861 -798639 -607241 -782566 
357513 870027 556216 888278 
-27643 -941258 -411688 -680554 
-120366 -225620 -30136 -392402 
-236000 906373 471955 837125 
549861 1044784 276587 1037349 
477174 -845984 277016 -424549 
176533 -363919 314951 -649313 
-132032 -135900 -266652 104574 
824274 54154 865732 -73220 
649052 108038 783500 -121577 
263230 208093 107531 254505 
-694011 -887198 -558668 -831645 
-506690 -893391 -438374 -753266 
-1040306 -999767 -974949 -758063 
-703065 -375296 -805970 -316193 
-189605 956907 174537 927977 
-986797 325023 -940777 379472 
44481 -623701 110120 -600909 
-572698 -315868 -477730 -325126 
674702 -1027493 988790 -1042302 
-203850 320702 -63200 270526 
-992920 198415 -935216 283952 
1020901 409858 925680 61836 
-598541 226597 -619034 556808 
-184326 563275 -169044 525992 
-75738 -958480 -193798 -930108 
-67967 -829721 -69208 -858452 
158689 -135425 174860 -152394 
-1028369 -861494 -1048065 -687022 
-311028 -1034728 -391636 -771381 
237926 -147430 436632 -718581 
-187146 -799202 -89517 -840582 
-133091 -690197 -116142 -667582 
633357 940016 735168 928974 
-973333 -538164 -1039796 -571238 
881411 1026936 975436 1024660 
-6974 -1045497 -247029 -1042335 
23749 632835 -291901 681602 
902236 178938 685010 240938 
278606 530433 167761 528215 
-495398 259613 -526199 336178 
238169 -404442 -135915 101076 
928817 -1037498 577388 -992915 
790154 971950 915331 992414 
67769 -754012 75485 -715197 
631015 416728 770342 347514 
827015 293132 700129 247139 
665196 -983386 621473 -965746 
89319 -369859 178116 -535657 
-928405 -1008546 -690564 -1025427 
-844196 -562777 -830198 -462562 
-728164 -115045 -693794 -212945 
706929 -455113 679004 -450061 
-596437 -542719 -249265 -689126 
-269935 -497200 -353189 -474691 
388866 -413672 378076 -438205 
-633760 -524913 -500097 -576501 
-223939 739170 108500 629278 
-669057 -141411 -582406 -302062 
263555 -857431 243991 -909285 
