  20   20  314
-786378 -750848 45662 595421 
-786373 -540997 45667 805272 
-786257 -617456 45783 728813 
-785808 -658246 46232 688023 
-785220 -694617 46820 651652 
-784687 -617797 47353 728472 
-784490 -643785 47550 702484 
-784126 -661638 47914 684631 
-784122 -577687 47918 768582 
-783911 -533121 48129 813148 
-783743 -572438 48297 773831 
-783598 -652717 48442 693552 
-783436 -704167 48604 642102 
-783303 -581934 48737 764335 
-783166 -766172 48874 580097 
-783005 -546305 49035 799964 
-782565 -683871 49475 662398 
-782562 -670952 49478 675317 
-782378 -756528 49662 589741 
-781960 -710316 50080 635953 
73953 512616 -440276 194805 
79592 456521 -434637 138710 
-430188 -493397 -944417 -811208 
-78632 397013 -592861 79202 
-455485 -360450 -969714 -678261 
-520098 -407780 -1034327 -725591 
-120846 399727 -635075 81916 
-481585 -417403 -995814 -735214 
-435827 -309157 -950056 -626968 
-36095 524832 -550324 207021 
-116979 327363 -631208  9552 
-440820 -416309 -955049 -734120 
-72827 364086 -587056 46275 
22713 497755 -491516 179944 
-104086 530635 -618315 212824 
-13539 381572 -527768 63761 
-33354 319646 -547583  1835 
-493029 -431383 -1007258 -749194 
97478 323883 -416751  6072 
66376 372738 -447853 54927 
