 200  200 30785
-786378 -750848 45662 595421 
-786373 -540997 45667 805272 
-786257 -617456 45783 728813 
-785808 -658246 46232 688023 
-785220 -694617 46820 651652 
-784687 -617797 47353 728472 
-784490 -643785 47550 702484 
-784126 -661638 47914 684631 
-784122 -577687 47918 768582 
-783911 -533121 48129 813148 
-783743 -572438 48297 773831 
-783598 -652717 48442 693552 
-783436 -704167 48604 642102 
-783303 -581934 48737 764335 
-783166 -766172 48874 580097 
-783005 -546305 49035 799964 
-782565 -683871 49475 662398 
-782562 -670952 49478 675317 
-782378 -756528 49662 589741 
-781960 -710316 50080 635953 
-781712 -658916 50328 687353 
-781608 -654521 50432 691748 
-781451 -585503 50589 760766 
-781337 -693317 50703 652952 
-780307 -653488 51733 692781 
-780179 -597220 51861 749049 
-780100 -669895 51940 676374 
-779667 -576004 52373 770265 
-779598 -677754 52442 668515 
-779358 -619980 52682 726289 
-779116 -532536 52924 813733 
-778666 -556758 53374 789511 
-778606 -580694 53434 765575 
-778187 -550177 53853 796092 
-777730 -686597 54310 659672 
-777063 -700227 54977 646042 
-776856 -546807 55184 799462 
-776469 -665900 55571 680369 
-775562 -731394 56478 614875 
-775416 -549309 56624 796960 
-775190 -614170 56850 732099 
-774989 -674490 57051 671779 
-774596 -765357 57444 580912 
-774572 -594477 57468 751792 
-774261 -578300 57779 767969 
-773903 -666704 58137 679565 
-773882 -780103 58158 566166 
-773334 -565762 58706 780507 
-772802 -539923 59238 806346 
-771958 -711583 60082 634686 
-771535 -608561 60505 737708 
-771180 -528790 60860 817479 
-771027 -780064 61013 566205 
-770513 -650722 61527 695547 
-770443 -738050 61597 608219 
-770095 -536816 61945 809453 
-769649 -626336 62391 719933 
-769423 -628901 62617 717368 
-769317 -738693 62723 607576 
-769024 -713122 63016 633147 
-768929 -778985 63111 567284 
-768506 -729574 63534 616695 
-767111 -542162 64929 804107 
-767078 -602538 64962 743731 
-766886 -718019 65154 628250 
-766165 -667545 65875 678724 
-765668 -654896 66372 691373 
-765588 -721116 66452 625153 
-765179 -682240 66861 664029 
-764351 -559803 67689 786466 
-763593 -650552 68447 695717 
-763421 -607966 68619 738303 
-763050 -756344 68990 589925 
-762699 -539454 69341 806815 
-762685 -776383 69355 569886 
-762626 -673930 69414 672339 
-761805 -544563 70235 801706 
-761615 -692112 70425 654157 
-761570 -754019 70470 592250 
-761428 -713975 70612 632294 
-761179 -762453 70861 583816 
-761030 -551846 71010 794423 
-760698 -576496 71342 769773 
-760683 -634263 71357 712006 
-760610 -607741 71430 738528 
-760572 -785222 71468 561047 
-760201 -661680 71839 684589 
-760142 -541391 71898 804878 
-759940 -616993 72100 729276 
-759792 -715246 72248 631023 
-759601 -599934 72439 746335 
-759277 -650702 72763 695567 
-759158 -659391 72882 686878 
-757962 -750022 74078 596247 
-757629 -665460 74411 680809 
-757606 -610849 74434 735420 
-757572 -655731 74468 690538 
-757501 -553028 74539 793241 
-757175 -585412 74865 760857 
-756977 -576386 75063 769883 
-756885 -538929 75155 807340 
-756634 -648081 75406 698188 
-756423 -529856 75617 816413 
-755473 -766393 76567 579876 
-755197 -559257 76843 787012 
-754993 -640767 77047 705502 
-754940 -549291 77100 796978 
-754355 -647260 77685 699009 
-754339 -528053 77701 818216 
-754312 -735602 77728 610667 
-753853 -690799 78187 655470 
-753673 -615665 78367 730604 
-753649 -556008 78391 790261 
-753281 -553983 78759 792286 
-753274 -542697 78766 803572 
-753091 -770180 78949 576089 
-752940 -537970 79100 808299 
-752734 -657353 79306 688916 
-752593 -713778 79447 632491 
-751078 -542122 80962 804147 
-750991 -539522 81049 806747 
-750957 -634379 81083 711890 
-750719 -568811 81321 777458 
-750446 -587957 81594 758312 
-750346 -759276 81694 586993 
-750254 -546262 81786 800007 
-750167 -532843 81873 813426 
-750151 -710866 81889 635403 
-750086 -762614 81954 583655 
-749997 -598721 82043 747548 
-749990 -697523 82050 648746 
-749782 -628420 82258 717849 
-749313 -576674 82727 769595 
-749044 -546406 82996 799863 
-748776 -760159 83264 586110 
-748750 -677433 83290 668836 
-748624 -700134 83416 646135 
-747995 -628653 84045 717616 
-747584 -736603 84456 609666 
-747289 -670713 84751 675556 
-747038 -596731 85002 749538 
-746901 -626638 85139 719631 
-746523 -677061 85517 669208 
-746142 -631260 85898 715009 
-746122 -621331 85918 724938 
-745757 -738336 86283 607933 
-745559 -599804 86481 746465 
-745115 -698072 86925 648197 
-744975 -568038 87065 778231 
-744274 -702608 87766 643661 
-743705 -742746 88335 603523 
-742987 -737567 89053 608702 
-742209 -731444 89831 614825 
-742180 -766074 89860 580195 
-742159 -767561 89881 578708 
-741627 -658473 90413 687796 
-741621 -688546 90419 657723 
-741554 -608825 90486 737444 
-741400 -570562 90640 775707 
-741136 -701462 90904 644807 
-740937 -674619 91103 671650 
-740465 -643039 91575 703230 
-740426 -775844 91614 570425 
-740217 -736786 91823 609483 
