173 173 373
-1048571 -940632 -1048571 -847986 
-1048571 -940632 -694936 -1048570 
-1048571 -940632 -694936 -936703 
-1048571 -847986 -1048571 -780889 
-1048571 -847986 -694936 -936703 
-1048571 -847986 -690103 -844014 
-1048571 -780889 -1048571 579787 
-1048571 -780889 -690103 -844014 
-1048571 -780889 -178962 -271043 
-1048571 579787 -389634 1048570 
-1048571 579787 -178962 -271043 
-1048571 579787 -178962 579787 
-694936 -1048570 -694936 -936703 
-694936 -1048570 -679241 -1032697 
-694936 -1048570 86481 -1048570 
-694936 -936703 -690103 -936703 
-694936 -936703 -690103 -844014 
-694936 -936703 -679241 -1032697 
-694936 -936703 -679241 -940632 
-694936 -936703 -679241 -863275 
-690103 -936703 -679241 -940632 
-690103 -936703 -679241 -863275 
-690103 -844014 -679241 -863275 
-690103 -844014 -679241 -847986 
-690103 -844014 -389634 -776426 
-690103 -844014 -178962 -271043 
-679241 -1032697 -679241 -940632 
-679241 -1032697 -310162 -844014 
-679241 -1032697 86481 -1048570 
-679241 -940632 -679241 -863275 
-679241 -940632 -389634 -776426 
-679241 -940632 -310162 -844014 
-679241 -863275 -679241 -847986 
-679241 -863275 -389634 -776426 
-679241 -847986 -389634 -776426 
-389634 -776426 -310162 -844014 
-389634 -776426 -310162 -776426 
-389634 -776426 -178962 -271043 
-389634 1048570 -178962 579787 
-389634 1048570 -164429 1048570 
-310162 -844014 -310162 -776426 
-310162 -844014 -178962 -832444 
-310162 -844014 86481 -1048570 
-310162 -776426 -178962 -832444 
-310162 -776426 -178962 -780889 
-310162 -776426 -178962 -271043 
-310162 -776426 -164429 -776426 
-178962 -832444 -178962 -780889 
-178962 -832444 -164429 -776426 
-178962 -832444 86481 -1048570 
-178962 -832444 86481 -936703 
-178962 -832444 120289 -844014 
-178962 -780889 -164429 -776426 
-178962 -271043 -178962 579787 
-178962 -271043 -164429 -776426 
-178962 -271043 120289 -776426 
-178962 -271043 277578 -271043 
-178962 -271043 277578 126809 
-178962 579787 -164429 1048570 
-178962 579787 277578 126809 
-178962 579787 277578 639541 
-164429 -776426 120289 -844014 
-164429 -776426 120289 -776426 
-164429 1048570 277578 639541 
-164429 1048570 366513 1048570 
86481 -1048570 86481 -936703 
86481 -1048570 196951 -936703 
86481 -1048570 277578 -1032697 
86481 -1048570 329612 -1048570 
86481 -936703 120289 -844014 
86481 -936703 196951 -936703 
120289 -844014 120289 -776426 
120289 -844014 196951 -936703 
120289 -844014 196951 -844014 
120289 -776426 196951 -844014 
120289 -776426 277578 -832444 
120289 -776426 277578 -271043 
196951 -936703 196951 -844014 
196951 -936703 277578 -1032697 
196951 -936703 277578 -995157 
196951 -936703 280158 -880128 
196951 -844014 277578 -864284 
196951 -844014 277578 -863275 
196951 -844014 277578 -832444 
196951 -844014 280158 -880128 
196951 -844014 280158 -844014 
277578 -1032697 277578 -995157 
277578 -1032697 329612 -1048570 
277578 -995157 280158 -880128 
277578 -995157 329612 -1048570 
277578 -995157 352467 -995157 
277578 -995157 352467 -914626 
277578 -864284 277578 -863275 
277578 -864284 280158 -880128 
277578 -864284 329612 -880128 
277578 -863275 280158 -844014 
277578 -863275 329612 -880128 
