512 512 468
-1048571 -980359 -1011056 -1048570 
-1011056 -873594 -965603 -980359 
-1048571 -626592 -996274 -442004 
-996274 -873594 -965603 -626592 
-965603 -957268 -864896 -873594 
-864896 -1048570 -790072 -957268 
-965603 -487782 -921263 -873594 
-921263 -442004 -790072 -487782 
-1048571 -392830 -985073 -368018 
-985073 -442004 -941934 -392830 
-1048571 -362561 -955180 -368018 
-955180 -361072 -941934 -362561 
-941934 -419436 -813359 -368018 
-813359 -442004 -790072 -419436 
-941934 -361145 -880044 -368018 
-880044 -361072 -790072 -361145 
-790072 -958501 -505412 -1048570 
-505412 -450949 -155763 -958501 
-790072 -447827 -690880 -450949 
-690880 -442004 -155763 -447827 
-155763 -479597 -84181 -1048570 
-84181 -450949 -51915 -479597 
-155763 -448687 -89638 -442004 
-89638 -450949 -51915 -448687 
-790072 -434864 -787971 -430228 
-787971 -442004 -781742 -434864 
-790072 -384987 -783791 -361072 
-783791 -430228 -781742 -384987 
-781742 -431422 -99968 -430228 
-99968 -442004 -51915 -431422 
-781742 -413023 -221063 -361072 
-221063 -430228 -51915 -413023 
-1048571 -197211 -1048414 -192167 
-1048414 -361072 -1045391 -197211 
-1048571 -162818 -1046810 -192167 
-1046810 -51123 -1045391 -162818 
-1045391 -244964 -836176 -192167 
-836176 -361072 -507510 -244964 
-1045391 -103366 -773797 -192167 
-773797 -51123 -507510 -103366 
-1048571 -25187 -957735 65846 
-957735 -51123 -945475 -25187 
-1048571 73903 -1018928 65846 
-1018928 107369 -945475 73903 
-945475 -22137 -759148 -51123 
-759148 65846 -507510 -22137 
-945475 66705 -534741 65846 
-534741 107369 -507510 66705 
-507510 -337911 -487222 -361072 
-487222 -261660 -425000 -337911 
-507510 -69719 -469675 -51123 
-469675 -261660 -425000 -69719 
-425000 -280250 -339898 -261660 
-339898 -361072 -51915 -280250 
-425000 -92501 -112086 -51123 
-112086 -261660 -51915 -92501 
-507510 29403 -492921 -51123 
-492921 34383 -88659 29403 
-507510 43438 -147705 34383 
-147705 107369 -88659 43438 
-88659 -33857 -62400 34383 
-62400 -51123 -51915 -33857 
-88659 58651 -80948 107369 
-80948 34383 -51915 58651 
-51915 -974611 -28897 -1048570 
-28897 -817755 -23714 -974611 
-51915 -710903 -25400 -708453 
-25400 -817755 -23714 -710903 
-23714 -970354 17683 -1048570 
17683 -817755 19341 -970354 
-23714 -792371 -13709 -817755 
-13709 -708453 19341 -792371 
-51915 -641541 -50773 -708453 
-50773 -606315 -49918 -641541 
-51915 -431856 -51314 -361072 
-51314 -606315 -49918 -431856 
-49918 -647188 609 -606315 
609 -708453 19341 -647188 
-49918 -514983 3020 -361072 
3020 -606315 19341 -514983 
19341 -867567 27789 -1048570 
27789 -803279 29071 -867567 
19341 -739750 25752 -708453 
25752 -803279 29071 -739750 
29071 -954851 142732 -803279 
142732 -1048570 187253 -954851 
29071 -770046 60768 -803279 
60768 -708453 187253 -770046 
19341 -682353 28110 -708453 
28110 -659479 38641 -682353 
19341 -576366 35762 -361072 
35762 -659479 38641 -576366 
38641 -685396 50207 -708453 
50207 -659479 187253 -685396 
38641 -618395 41503 -361072 
41503 -659479 187253 -618395 
-51915 -357479 -38836 -361072 
-38836 -351594 -24409 -357479 
-51915 -332817 -37569 -351594 
-37569 -295676 -24409 -332817 
-24409 -355626 63449 -361072 
63449 -351594 65311 -355626 
-24409 -303496 26091 -351594 
26091 -295676 65311 -303496 
-51915 -275391 -51754 -86656 
-51754 -295676 -51461 -275391 
-51915 -70523 -51473 -86656 
-51473 107369 -51461 -70523 
-51461 -263462 -26901 -295676 
-26901 -86656 65311 -263462 
-51461 -38755 23836 107369 
23836 -86656 65311 -38755 
65311 -330405 96362 -361072 
96362 -316769 158034 -330405 
65311 -297028 133488 -316769 
133488 -295676 158034 -297028 
158034 -354226 161220 -316769 
161220 -361072 187253 -354226 
158034 -302362 176708 -295676 
176708 -316769 187253 -302362 
65311 -270158 120363 -295676 
120363 -101629 167703 -270158 
65311 -26200 106266 -101629 
106266 107369 167703 -26200 
167703 -130245 186851 -101629 
186851 -295676 187253 -130245 
167703 -98751 181634 107369 
181634 -101629 187253 -98751 
-1048571 124311 -1041366 107369 
-1041366 155716 -1017678 124311 
-1048571 279081 -1019439 282320 
-1019439 155716 -1017678 279081 
-1017678 111865 -984661 155716 
-984661 107369 -958234 111865 
-1017678 189438 -1017584 155716 
-1017584 282320 -958234 189438 
-1048571 306817 -1021121 680901 
-1021121 282320 -1012958 306817 
-1048571 694099 -1025638 680901 
-1025638 733239 -1012958 694099 
-1012958 386051 -974244 680901 
-974244 282320 -958234 386051 
-1012958 712909 -1007055 680901 
-1007055 733239 -958234 712909 
-958234 246255 -917404 248027 
-917404 107369 -491035 246255 
-958234 280001 -893300 248027 
-893300 282320 -491035 280001 
-491035 134394 -362381 107369 
-362381 248027 -307618 134394 
-491035 262708 -308843 282320 
-308843 248027 -307618 262708 
-958234 319523 -912389 282320 
-912389 389248 -332238 319523 
-958234 586351 -568566 389248 
-568566 733239 -332238 586351 
-332238 381903 -309671 389248 
-309671 282320 -307618 381903 
-332238 442125 -311317 389248 
-311317 733239 -307618 442125 
-1048571 733515 -1044666 751568 
-1044666 733239 -932360 733515 
-1048571 773567 -980084 751568 
-980084 881998 -932360 773567 
-932360 748037 -881797 733239 
-881797 751568 -731591 748037 
-932360 837114 -864061 751568 
-864061 881998 -731591 837114 
-1048571 950448 -893964 972613 
-893964 881998 -857247 950448 
-1048571 1025985 -939861 1048570 
-939861 972613 -857247 1025985 
-857247 954070 -824027 972613 
-824027 881998 -731591 954070 
-857247 1048166 -754904 972613 
-754904 1048570 -731591 1048166 
-731591 737570 -712711 738925 
-712711 733239 -650267 737570 
-731591 844394 -676809 738925 
-676809 881998 -650267 844394 
-650267 737330 -561286 738925 
-561286 733239 -307618 737330 
-650267 746262 -397238 881998 
-397238 738925 -307618 746262 
-731591 924293 -686112 881998 
-686112 971331 -553845 924293 
-731591 1019924 -694943 971331 
