100 100 269
-331722 -200264 374449 -303740
-519158 176782 396803 587053
-943120 -14524 -475783 574723
603380 -203253 -290703 -877823
147149 -723133 513429 -1046915
214125 945259 -277891 848683
512740 770348 -686251 782415
609818 611597 847774 -778168
-970354 -376780 299220 299619
-574887 117163 -1012372 -86585
804041 -922862 461355 -555077
-796811 -364142 -796861 -399156
917855 889017 890404 44047
-304011 -156881 616848 -177519
-152126 -309810 -744563 -585481
776267 -745703 439597 501446
867931 877228 814459 886445
-138014 -483083 -644021 -868452
-466674 696112 97138 680789
379225 655907 627721 424955
-124483 60801 194734 -107397
-586872 20376 -301063 256840
855109 159870 542067 918283
-418775 -150885 453057 -146042
-464466 620406 238490 669736
-803308 1002871 -1039004 12578
-88120 -667612 -627976 -990059
952558 -798045 854065 -676623
-307013 299109 -570071 368142
1042541 518284 1001487 -703800
1002450 39589 980486 761483
83275 -544024 -767934 -994825
-877280 -754717 -638113 -413157
-871470 1020957 -202401 867310
718590 404754 410129 1026443
639701 -333288 30381 -798909
-659776 -589219 -942803 -924797
459532 -578351 413974 -595276
-58320 119795 -140071 297491
532686 -659949 482688 -825975
986971 -261748 786524 -404607
-80193 124556 -874924 -216642
-343152 518715 -605417 652658
-990017 -402823 -1005957 -831513
-225650 -859816 463622 -408659
888405 1035640 1023194 647924
-371013 404708 352151 571805
984489 -687521 897641 -572492
186944 618628 -257349 590863
-144678 991277 -226198 942235
605322 -590159 823122 -870262
-417843 -649018 -215038 -489351
-879091 196948 -720274 960063
328242 782414 -552676 792336
-617291 822490 351908 803465
-739973 1027165 288389 996487
112710 811621 326803 969440
691347 424241 736059 70852
129260 -1000695 165561 -906393
-634184 -679321 -600363 -656534
833927 -919160 1020128 -844446
123814 -428137 -174287 -354954
808290 -371481 799901 -243471
-536315 -247974 -369666 -85315
-197981 -394237 -503658 -700378
169101 38864 588787 -51873
-661785 -840661 -859104 -902061
405426 523451 111239 452923
-428000 -493698 -753065 -771695
-552889 726164 577460 687530
-581644 -884270 -520347 -788412
-679041 -928942 -913407 -1013625
-410320 710117 -751171 688355
747342 503424 768465 406533
424549 115919 513800 102296
-892221 565578 -884820 381341
325221 -75132 403856 -102769
-838880 71391 -495949 310665
-975695 -682268 -684109 -413866
123262 1021379 299848 1005932
866310 -880330 629045 9826
-415919 -688684 -174534 -451787
631558 738429 720102 756443
-531942 380444 173455 561711
-104959 -805575 101893 -731085
104210 294058 79249 207077
970599 284116 903192 322306
-222182 1011381 173839 949023
-574958 -308613 -857713 -510679
-335385 529757 -430299 589710
